"Production::Begin Bates","Production::End Bates","File Name","Log Number","FILE_PATH"
"CPD 0038987","CPD 0038987","LOG_1051990.zip?2012-1.LOG_1051990.004.CR_Attachment_---_DOCID_824745.pdf","LOG_1051990",""
"CPD 0038988","CPD 0038990","LOG_1051997.zip?2012-1.LOG_1051997.001.CR Summary.pdf","LOG_1051997",""
"CPD 0038991","CPD 0038992","LOG_1051997.zip?2012-1.LOG_1051997.002.CR Face Sheet.pdf","LOG_1051997",""
"CPD 0038993","CPD 0038993","LOG_1051997.zip?2012-1.LOG_1051997.004.CR_Attachment_---_DOCID_825033.pdf","LOG_1051997",""
"CPD 0038994","CPD 0038995","LOG_1051997.zip?2012-1.LOG_1051997.005.CR_Attachment_---_DOCID_826927.pdf","LOG_1051997",""
"CPD 0038996","CPD 0038998","LOG_1051998.zip?2012-1.LOG_1051998.001.CR Summary.pdf","LOG_1051998",""
"CPD 0038999","CPD 0038999","LOG_1051998.zip?2012-1.LOG_1051998.002.CR Face Sheet.pdf","LOG_1051998",""
"CPD 0039000","CPD 0039004","LOG_1051998.zip?2012-1.LOG_1051998.004.CR_Attachment_---_DOCID_825121.pdf","LOG_1051998",""
"CPD 0039005","CPD 0039007","LOG_1052002.zip?2012-1.LOG_1052002.001.CR Summary.pdf","LOG_1052002",""
"CPD 0039008","CPD 0039009","LOG_1052002.zip?2012-1.LOG_1052002.002.CR Face Sheet.pdf","LOG_1052002",""
"CPD 0039010","CPD 0039013","LOG_1052002.zip?2012-1.LOG_1052002.004.CR_Attachment_---_DOCID_824783.pdf","LOG_1052002",""
"CPD 0039014","CPD 0039016","LOG_1052006.zip?2012-1.LOG_1052006.001.CR Summary.pdf","LOG_1052006",""
"CPD 0039017","CPD 0039018","LOG_1052006.zip?2012-1.LOG_1052006.002.CR Face Sheet.pdf","LOG_1052006",""
"CPD 0039019","CPD 0039020","LOG_1052006.zip?2012-1.LOG_1052006.004.CR_Attachment_---_DOCID_825113.PDF","LOG_1052006",""
"CPD 0039021","CPD 0039023","LOG_1052011.zip?2012-1.LOG_1052011.001.CR Summary.pdf","LOG_1052011",""
