"Production::Begin Bates","Production::End Bates","Log Number"
"CPD 0018732","CPD 0018733","LOG_1049289"
"CPD 0018734","CPD 0018735","LOG_1049289"
"CPD 0018736","CPD 0018741","LOG_1049289"
"CPD 0018742","CPD 0018744","LOG_1049290"
"CPD 0018745","CPD 0018745","LOG_1049290"
"CPD 0018746","CPD 0018747","LOG_1049290"
"CPD 0018748","CPD 0018753","LOG_1049290"
"CPD 0018754","CPD 0018756","LOG_1049291"
"CPD 0018757","CPD 0018758","LOG_1049291"
"CPD 0018759","CPD 0018762","LOG_1049291"
"CPD 0018763","CPD 0018767","LOG_1049291"
"CPD 0018768","CPD 0018768","LOG_1049291"
"CPD 0018769","CPD 0018769","LOG_1049291"
"CPD 0018770","CPD 0018770","LOG_1049291"
"CPD 0018771","CPD 0018771","LOG_1049291"
"CPD 0018772","CPD 0018772","LOG_1049291"
"CPD 0018773","CPD 0018774","LOG_1049291"
"CPD 0018775","CPD 0018777","LOG_1049292"
"CPD 0018778","CPD 0018778","LOG_1049292"
"CPD 0018779","CPD 0018781","LOG_1049293"
"CPD 0018782","CPD 0018783","LOG_1049293"
"CPD 0018784","CPD 0018786","LOG_1049295"
"CPD 0018787","CPD 0018788","LOG_1049295"
"CPD 0018789","CPD 0018791","LOG_1049296"
"CPD 0018792","CPD 0018792","LOG_1049296"
"CPD 0018793","CPD 0018795","LOG_1049297"
"CPD 0018796","CPD 0018797","LOG_1049297"
"CPD 0018798","CPD 0018800","LOG_1049298"
"CPD 0018801","CPD 0018802","LOG_1049298"
"CPD 0018803","CPD 0018805","LOG_1049299"
"CPD 0018806","CPD 0018807","LOG_1049299"
"CPD 0018808","CPD 0018809","LOG_1049299"
"CPD 0018810","CPD 0018814","LOG_1049299"
"CPD 0018815","CPD 0018817","LOG_1049300"
"CPD 0018818","CPD 0018819","LOG_1049300"
"CPD 0018820","CPD 0018820","LOG_1049300"
"CPD 0018821","CPD 0018821","LOG_1049300"
"CPD 0018822","CPD 0018822","LOG_1049300"
"CPD 0018823","CPD 0018823","LOG_1049300"
"CPD 0018824","CPD 0018827","LOG_1049300"
"CPD 0018828","CPD 0018830","LOG_1049301"
"CPD 0018831","CPD 0018831","LOG_1049301"
